Moisture,Ash,Volatile_Oil,Acid_Insoluble_Ash,Chromium,Coumarin,Fiber,Density,Oil_Content,Resin,Pesticide_Level,PH_Value,Quality_Label
5.912319684631715,1.5245575304055563,1.068158558466343,0.1633210264116448,0.4276723149361204,0.2147153432347099,13.461451497437334,0.9482843588359212,7.207146265003943,0.9821564582970372,0.0421541029470985,4.676990080336132,Low
5.450826458421558,1.9467758027546944,2.747778834741754,0.8560729813590682,0.2945111618735249,0.4673394980632774,17.39960456890177,0.5505173555280976,12.668707641187623,0.54677616791051,0.0829068922059811,5.495598156594469,Medium
5.37777375455396,1.1662992665166152,2.7471079533276392,0.9684281969516184,0.1986172390152236,0.3083750999348865,11.65109097325882,0.5521541041583184,6.67093257180384,0.7304152948565954,0.0616862616938146,6.465607398865025,Low
6.720881615434557,1.044293526403418,2.955141172172058,0.4428551554616748,0.0930944120479226,0.3272186567150061,12.80120196601388,0.9617017593102728,11.581747595137903,2.262518685301882,0.0992465078777759,5.660093129842216,Low
6.024627983876653,1.698597727040006,2.7027932666371552,0.6167176879336721,0.3568486025078615,0.4447265509947097,10.402968412032935,1.0829932673920313,8.560011647672493,1.263880997666076,0.0863129391145838,6.32064741849836,Low
4.033909148836602,1.0789275378551837,2.1920615562902066,0.1957416476017272,0.1515187919971347,0.2190100085514089,14.814960093632,0.773359544725867,14.221476386495958,2.715036653717008,0.0748070891113412,6.477924933117023,Medium
6.818646371015081,1.1782508491245312,3.200233189898693,0.3094311647786142,0.1357552946152327,0.3082567433317864,19.84546681060724,0.7193761848988419,14.64451203902096,1.5877279990714694,0.083467575481373,6.089953049205947,High
5.7548900688191,1.4737134151488451,2.5400987605222567,0.3078652881245894,0.1106168589913528,0.4515513114582175,16.339413395689512,0.5424643057543598,14.610516499008202,2.232671255671022,0.0151704642087011,7.4074032950292015,High
4.487982484266958,1.0733279880196704,2.5817587196882004,0.6209443237837992,0.2231654934103527,0.1309102649567736,14.344653792730483,0.7729246831022235,5.993591439855068,1.380309415248962,0.0837399157744394,7.18707606504013,Medium
4.7987854439467785,1.727571277139499,1.2230039411165414,0.9623132020540932,0.4445062155994503,0.4495416602913349,17.89890638753527,0.9435125047214168,5.534290393096123,2.1560647211011394,0.0746927281679241,4.892459746365647,Medium
