Sample_ID,Moisture,Ash,Volatile_Oil,Acid_Insoluble_Ash,Chromium,Coumarin,Quality_Label
H018,10.789005483182992,5.572559317573157,1.2592053409763568,0.2099630745409084,0.0013876677549347,0.0025867807883756,High
L009,13.923083990162471,7.04366929447853,0.6904455458389331,0.7390942584454983,0.0027927591555278,0.0136971913291851,Low
H014,10.33990197207496,6.159258011612887,1.4696024968422037,0.3596379070138754,0.0015985353935429,0.0044004355893069,High
M012,11.328746257164331,6.246080818714801,0.9990303438140952,0.4803313637166667,0.0025069225787334,0.0085295981528134,Medium
M006,11.640149559521507,6.043580048487378,1.1690377407761467,0.4286264876938563,0.0014883886688504,0.0067164623842368,Medium
H020,10.441811704659656,5.804581069583287,1.300194072714629,0.2187850609433262,0.0011057563278922,0.0036233708242137,High
L019,13.141974663724596,7.28716215765756,0.7885817545017233,0.5484565594510334,0.0029280151981914,0.0194570845829459,Low
L008,13.90954761107904,7.291356572009862,0.757869205008023,0.5982382290965755,0.0031857256927755,0.0104544651856422,Low
M008,12.280629065522618,6.505596553381548,1.0406829091127523,0.4094900397507587,0.0025133153582518,0.0077204601937847,Medium
M016,11.472714204895778,6.233489491569489,1.0303855400913928,0.3683318085982814,0.0019057562266614,0.0101099886956937,Medium
H018,10.77943374756916,5.571015989626462,1.2570232751497912,0.2101998600585217,0.0013980915177285,0.0026215674547183,High
L002,13.87274468955651,7.492541033160169,0.6994331872190485,0.6611381113240246,0.0034229220472073,0.0146031762077163,Low
H009,10.876252402377384,5.909870748299863,1.3647597130080211,0.2115597132122962,0.0018999547335422,0.0027017800238798,High
M010,11.786905823996245,6.270908101366104,1.120164125000229,0.3491504640903107,0.00170074388458,0.0093565670277095,Medium
L018,13.396850060348006,7.244772966900329,0.6617385508639876,0.5505901807506092,0.0033905464672269,0.0158243380321627,Low
M019,11.54918005296376,6.2370238522762405,1.190345229393891,0.4799863081795736,0.0024996139184948,0.009478322632743,Medium
H008,11.306651599621274,5.848655159076887,1.360017996207249,0.3582833479134164,0.0015920196608134,0.0043225850260063,High
M015,12.40562827839408,6.989869820421197,1.1314797920000417,0.3691390151047876,0.0026055305387069,0.0064313670046449,Medium
H015,10.274878240317411,6.187965553290006,1.379990442258355,0.338613507818698,0.0017978848939988,0.0039087937448416,High
M013,11.17317382708682,6.136796955384675,1.098995830535334,0.4784655204861561,0.0025113545047411,0.0089491714518388,Medium
L019,13.11076385946149,7.292611571442452,0.7896943062780963,0.5489462520087053,0.002892519380282,0.0193823588123545,Low
M008,12.28645341726159,6.492891733664907,1.0387682008452512,0.4112615238809387,0.0024916845448385,0.0077888213304779,Medium
M006,11.64051778583573,6.044713354670319,1.169950548705807,0.4301012292211089,0.0014943981473037,0.0066498569356144,Medium
L004,12.74,7.16,0.63,0.69,0.0026,0.0143,Low
L005,12.046561172017768,7.410291581684291,0.7690293786243286,0.7212794882451279,0.0039143327932405,0.0140463507909628,Low
M003,11.485060850206398,6.495418106125762,1.130170345380014,0.4799608753254374,0.0016766791137419,0.0057017256605679,Medium
H006,10.218540407210847,6.050660727935337,1.3986543934742766,0.3088771940418592,0.0012921477496458,0.0027074414920316,High
H020,10.453027207541616,5.811547243143763,1.299767804611199,0.2220914693829286,0.0011080558176364,0.0035861222889454,High
M004,11.156365020443486,6.298364599523848,1.112132210028468,0.4789974665469977,0.0028062737988722,0.0075861467154408,Medium
H018,10.80202834036397,5.568887538470677,1.2597063837964733,0.2074730612545803,0.001396398592894,0.0025901255824944,High
H014,10.314763678481558,6.163491686142368,1.4672354357271729,0.3614832244862722,0.0016203205889591,0.0044136891232613,High
L018,13.396955559710902,7.251807494921596,0.659366913438693,0.5482183653378732,0.0033801727304731,0.015954212768848,Low
M006,11.63886197784013,6.028166027405155,1.1687406256394604,0.4309363405532803,0.0014994447888259,0.0066775817114502,Medium
M007,12.235822155982648,6.596395345935894,1.0592524543303423,0.4590402958527956,0.0017095431912879,0.0118015478941159,Medium
L008,13.92623361801896,7.291280799121202,0.7593576649627393,0.5994325951884242,0.0032051396570731,0.0105381579983687,Low
L018,13.39,7.25,0.66,0.55,0.0034,0.0159,Low
M007,12.23828510917713,6.607332614893415,1.058260326251396,0.4590372890265986,0.0016986226245769,0.0117995075393994,Medium
L017,13.871965968102508,7.361333519883118,0.8309281505363298,0.6213090106748008,0.0037072795275806,0.010360658864835,Low
M015,12.40529870023602,6.981103958684575,1.1302148808293364,0.3687233549647265,0.0026011643894968,0.0065210495395378,Medium
M007,12.241857307020949,6.609682367650209,1.0614714430917789,0.4602876713694112,0.0016923083542269,0.0118306625776939,Medium
M003,11.489556929849316,6.504928077243712,1.1318306656299706,0.4811022065280688,0.0016866030847237,0.0057202642844214,Medium
H009,10.888277942269552,5.906214485248038,1.359079631761905,0.2075313349771868,0.0019035585274894,0.0027034497542753,High
M016,11.48,6.24,1.03,0.37,0.0019,0.0101,Medium
H001,10.54915209397312,5.932918963494074,1.2401489399536123,0.281191733514435,0.0019086045261325,0.0021084277651979,High
L004,12.73061236036036,7.155560484351021,0.6281599975991512,0.6927090727671112,0.0025870183360298,0.0143107058626189,Low
H003,11.10168395218435,5.7019288859370265,1.2141770056665189,0.3700580108107754,0.00129135541317,0.0028825415386683,High
M009,11.01,6.05,1.01,0.41,0.0015,0.0112,Medium
M020,12.46,6.73,1.03,0.46,0.0028,0.0062,Medium
H020,10.448256396230876,5.813621862586373,1.3007745781515485,0.2188231218001259,0.0011027837587987,0.0036103676556362,High
H015,10.28414025815664,6.184772624555643,1.3822002663768338,0.3383378820896708,0.0018073806130795,0.0038916702522312,High
L018,13.394469525512957,7.252043267433498,0.6599883091246008,0.5479051244459324,0.0033943458644089,0.0157986082757733,Low
M017,11.787565639622123,6.672204034258898,1.1409983047267815,0.4512135235544866,0.0020025980327069,0.0071166204768346,Medium
H013,11.23403953760015,5.544109800739398,1.4830824112348309,0.1998583582210646,0.0017880218498295,0.00476600364593,High
