Sample_ID,Moisture,Ash,Volatile_Oil,Acid_Insoluble_Ash,Chromium,Coumarin,Quality_Label
H018,10.69080690261247,5.4684597615752315,1.4430590506047276,0.39340000471662295,-0.127907992,-0.050550249,High
L009,14.254735043935012,6.560724774,0.6059220708234778,1.0330362170396883,-0.154194361,0.001733234,Low
H014,10.42530784922114,6.576115261970005,1.4127758884843367,0.16083764706419093,-0.00042434,0.1334499842003542,High
M012,10.823453537512622,6.6531826176444655,0.8879321482213401,0.5151882409091497,0.026752038394147398,0.25629364130850074,Medium
M006,11.714603185751242,5.916492237052146,0.8797915070452093,0.19735145737104903,-0.245589165,-0.013068146,Medium
H020,10.695237672593946,5.810939812279924,1.651084721865412,0.040444939032076535,-0.050113528,0.11287912929830718,Medium
L019,13.66064476,7.418681347266111,0.8231678150936274,0.5084406430686356,-0.092484138,-0.117050129,Low
L008,14.374145170553236,7.561608707793962,1.0233382578100234,0.5420404856630536,-0.065151305,-0.014874251,Low
M008,12.111260584368472,6.796040886017664,1.3560857728901963,0.23704729025654458,-0.268594316,0.035713622691763244,Medium
M016,11.954835407290888,6.608136915158539,0.9575981040392196,-0.099241863,-0.014985761,0.1479262261801331,Medium
H018,10.32609748704321,5.641505023875978,0.7616853552117413,-0.204576732,-0.472412622,0.13642223388644176,High
L002,14.197590604520043,7.329346646,0.6886197108078346,0.6151082026272756,-0.113532467,0.13352227184696613,Low
H009,10.585494018328271,6.262881818190651,1.1852268593946031,0.11121536170173989,0.010182784468815057,0.068938249,High
M010,11.853369383768962,6.279823091862019,1.3374022201603062,0.40204705056343243,0.09565329,0.2618620543537292,Medium
L018,13.985457468181194,7.058220954795418,0.9379644297723132,0.48197612964909914,-0.103348077,-0.124542326,Low
M019,11.603443709825543,6.511573787533605,1.401931690272169,0.4413406188588413,-0.146782879,-0.235315278,Medium
H008,11.201210541486418,6.153798899,1.2202276778317571,0.418565387,-0.348927009,0.077089916,High
M015,12.38174209034934,7.472216235199639,1.3145434976024604,0.1745549563775988,0.026346408,0.2467268428244375,Medium
H015,10.629347810804518,6.176672706,1.3053872207390103,0.193533877,0.248396114,-0.337883447,High
M013,11.02436826885149,6.421310096,1.0614219833698244,0.9223534320450157,0.036095795325395606,-0.145779042,Low
L019,13.871681836202233,7.339823438803472,0.7206653210991637,0.735730129,0.2134224327651532,-0.222467076,Low
M008,12.117771390002552,6.6094675796916675,0.6570564396266929,0.6004762359677968,-0.068576064,-0.002638104,Medium
M006,11.579213856162188,6.073543203,0.9716029960816831,0.5449955828509594,-0.083595213,-0.034358483,Medium
L004,12.940198969239692,7.062761111,0.6332000240578622,0.6128275121628884,0.25329983656536986,0.24584331295239928,Low
L005,12.360465199984144,7.270971333813254,0.7040378389791747,0.8048435136787069,-0.321161186,-0.034764225,Low
